Country,Total_Observations,sovereign_yield_missing,sovereign_yield_missing_pct,sovereign_spread_missing,sovereign_spread_missing_pct,cpi_yoy_missing,cpi_yoy_missing_pct,gdp_annual_growth_rate_missing,gdp_annual_growth_rate_missing_pct,gdp_per_capita_missing,gdp_per_capita_missing_pct,debt_to_gdp_missing,debt_to_gdp_missing_pct,deficit_to_gdp_missing,deficit_to_gdp_missing_pct,current_account_balance_missing,current_account_balance_missing_pct,NEER_missing,NEER_missing_pct,vulnerability_missing,vulnerability_missing_pct,wgi_cc_missing,wgi_cc_missing_pct,wgi_ge_missing,wgi_ge_missing_pct,wgi_pv_missing,wgi_pv_missing_pct,wgi_rl_missing,wgi_rl_missing_pct,wgi_rq_missing,wgi_rq_missing_pct,wgi_va_missing,wgi_va_missing_pct,Rating_Fitch_missing,Rating_Fitch_missing_pct,Outlook_Fitch_missing,Outlook_Fitch_missing_pct,Rating_S&P_missing,Rating_S&P_missing_pct,Outlook_S&P_missing,Outlook_S&P_missing_pct,Rating_DBRS_missing,Rating_DBRS_missing_pct,Outlook_DBRS_missing,Outlook_DBRS_missing_pct,Rating_Moody's_missing,Rating_Moody's_missing_pct,Outlook_Moody's_missing,Outlook_Moody's_missing_pct,overall_completeness
ARE,552,552,100.0,552,100.0,357,64.7,552,100.0,552,100.0,552,100.0,552,100.0,552,100.0,552,100.0,552,100.0,552,100.0,552,100.0,552,100.0,552,100.0,552,100.0,552,100.0,490,88.8,490,88.8,330,59.8,330,59.8,552,100.0,552,100.0,192,34.8,192,34.8,11.1875
ARG,984,816,82.9,816,82.9,784,79.7,198,20.1,120,12.2,144,14.6,120,12.2,120,12.2,168,17.1,252,25.6,360,36.6,360,36.6,360,36.6,360,36.6,360,36.6,360,36.6,260,26.4,340,34.6,170,17.3,170,17.3,520,52.8,520,52.8,70,7.1,70,7.1,66.89583333333334
ARM,660,370,56.1,370,56.1,660,100.0,90,13.6,0,0.0,48,7.3,0,0.0,0,0.0,24,3.6,84,12.7,132,20.0,132,20.0,132,20.0,132,20.0,132,20.0,132,20.0,660,100.0,660,100.0,660,100.0,660,100.0,660,100.0,660,100.0,660,100.0,660,100.0,51.275
AUS,984,10,1.0,10,1.0,138,14.0,18,1.8,120,12.2,120,12.2,120,12.2,120,12.2,204,20.7,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,984,100.0,984,100.0,984,100.0,984,100.0,984,100.0,984,100.0,984,100.0,984,100.0,52.05833333333334
AUT,984,10,1.0,10,1.0,132,13.4,276,28.0,120,12.2,120,12.2,120,12.2,120,12.2,204,20.7,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,230,23.4,376,38.2,113,11.5,113,11.5,634,64.4,634,64.4,738,75.0,738,75.0,69.18333333333334
BEL,984,10,1.0,10,1.0,132,13.4,24,2.4,120,12.2,120,12.2,120,12.2,120,12.2,204,20.7,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,230,23.4,376,38.2,105,10.7,113,11.5,644,65.4,644,65.4,98,10.0,98,10.0,75.61666666666667
BGD,864,358,41.4,358,41.4,864,100.0,864,100.0,0,0.0,312,36.1,0,0.0,0,0.0,84,9.7,168,19.4,264,30.6,264,30.6,264,30.6,264,30.6,264,30.6,264,30.6,864,100.0,864,100.0,864,100.0,864,100.0,864,100.0,864,100.0,864,100.0,864,100.0,44.51666666666666
BGR,890,178,20.0,178,20.0,210,23.6,210,23.6,120,13.5,216,24.3,120,13.5,120,13.5,168,18.9,228,25.6,300,33.7,300,33.7,300,33.7,300,33.7,300,33.7,300,33.7,222,24.9,280,31.5,236,26.5,236,26.5,874,98.2,874,98.2,200,22.5,200,22.5,68.77083333333333
BRA,856,420,49.1,420,49.1,132,15.4,159,18.6,120,14.0,240,28.0,120,14.0,120,14.0,168,19.6,228,26.6,288,33.6,288,33.6,288,33.6,288,33.6,288,33.6,288,33.6,179,20.9,248,29.0,178,20.8,178,20.8,386,45.1,386,45.1,81,9.5,81,9.5,72.8875
BWA,756,292,38.6,292,38.6,756,100.0,78,10.3,0,0.0,96,12.7,0,0.0,0,0.0,48,6.3,108,14.3,180,23.8,180,23.8,180,23.8,180,23.8,180,23.8,180,23.8,756,100.0,756,100.0,756,100.0,756,100.0,756,100.0,756,100.0,756,100.0,756,100.0,51.51666666666666
CAN,984,10,1.0,10,1.0,138,14.0,18,1.8,120,12.2,120,12.2,120,12.2,120,12.2,204,20.7,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,230,23.4,376,38.2,113,11.5,113,11.5,93,9.5,200,20.3,226,23.0,226,23.0,78.70833333333333
CHE,984,10,1.0,10,1.0,132,13.4,30,3.0,120,12.2,120,12.2,120,12.2,120,12.2,204,20.7,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,230,23.4,376,38.2,105,10.7,113,11.5,636,64.6,636,64.6,24,2.4,24,2.4,76.29166666666667
CHL,984,826,83.9,826,83.9,132,13.4,306,31.1,120,12.2,144,14.6,120,12.2,120,12.2,204,20.7,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,236,24.0,376,38.2,182,18.5,182,18.5,512,52.0,512,52.0,218,22.2,218,22.2,66.87083333333334
CHN,984,538,54.7,538,54.7,228,23.2,165,16.8,120,12.2,240,24.4,120,12.2,288,29.3,204,20.7,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,310,31.5,376,38.2,170,17.3,170,17.3,712,72.4,712,72.4,100,10.2,100,10.2,67.45833333333334
CIV,780,702,90.0,702,90.0,780,100.0,780,100.0,0,0.0,84,10.8,0,0.0,0,0.0,48,6.2,108,13.8,192,24.6,192,24.6,192,24.6,192,24.6,192,24.6,192,24.6,780,100.0,780,100.0,780,100.0,780,100.0,780,100.0,780,100.0,780,100.0,780,100.0,43.4
COL,984,572,58.1,572,58.1,132,13.4,402,40.9,120,12.2,264,26.8,120,12.2,120,12.2,204,20.7,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,230,23.4,376,38.2,202,20.5,202,20.5,526,53.5,526,53.5,206,20.9,206,20.9,67.94583333333333
CYP,926,314,33.9,314,33.9,342,36.9,222,24.0,120,13.0,180,19.4,120,13.0,120,13.0,168,18.1,228,24.6,324,35.0,324,35.0,324,35.0,324,35.0,324,35.0,324,35.0,350,37.8,350,37.8,169,18.3,169,18.3,624,67.4,624,67.4,206,22.2,206,22.2,69.53333333333333
CZE,924,316,34.2,316,34.2,162,17.5,240,26.0,180,19.5,180,19.5,180,19.5,180,19.5,168,18.2,228,24.7,324,35.1,324,35.1,324,35.1,324,35.1,324,35.1,324,35.1,194,21.0,316,34.2,162,17.5,162,17.5,906,98.1,906,98.1,158,17.1,158,17.1,68.16666666666666
DEU,972,10,1.0,10,1.0,132,13.6,12,1.2,120,12.3,132,13.6,120,12.3,120,12.3,192,19.8,276,28.4,372,38.3,372,38.3,372,38.3,372,38.3,372,38.3,372,38.3,218,22.4,364,37.4,43,4.4,113,11.6,622,64.0,622,64.0,73,7.5,73,7.5,76.49583333333334
DNK,986,10,1.0,10,1.0,132,13.4,186,18.9,120,12.2,168,17.0,120,12.2,120,12.2,204,20.7,288,29.2,384,38.9,384,38.9,384,38.9,384,38.9,384,38.9,384,38.9,230,23.3,376,38.1,14,1.4,113,11.5,666,67.5,666,67.5,79,8.0,79,8.0,75.14583333333333
EGY,878,564,64.2,564,64.2,534,60.8,375,42.7,120,13.7,216,24.6,120,13.7,120,13.7,168,19.1,228,26.0,300,34.2,300,34.2,300,34.2,300,34.2,300,34.2,300,34.2,211,24.0,268,30.5,204,23.2,204,23.2,878,100.0,878,100.0,201,22.9,201,22.9,62.725
ESP,988,10,1.0,10,1.0,132,13.4,276,27.9,120,12.1,120,12.1,120,12.1,120,12.1,204,20.6,288,29.1,384,38.9,384,38.9,384,38.9,384,38.9,384,38.9,384,38.9,230,23.3,376,38.1,103,10.4,113,11.4,620,62.8,620,62.8,97,9.8,97,9.8,74.86666666666667
EST,552,552,100.0,552,100.0,234,42.4,552,100.0,552,100.0,552,100.0,552,100.0,552,100.0,552,100.0,552,100.0,552,100.0,552,100.0,552,100.0,552,100.0,552,100.0,552,100.0,212,38.4,247,44.7,215,38.9,215,38.9,450,81.5,450,81.5,212,38.4,212,38.4,19.03749999999998
EST,351,351,100.0,351,100.0,351,100.0,0,0.0,351,100.0,351,100.0,351,100.0,351,100.0,351,100.0,351,100.0,351,100.0,351,100.0,351,100.0,351,100.0,351,100.0,351,100.0,351,100.0,351,100.0,351,100.0,351,100.0,351,100.0,351,100.0,351,100.0,351,100.0,4.166666666666671
ETH,553,553,100.0,553,100.0,273,49.4,553,100.0,553,100.0,553,100.0,553,100.0,553,100.0,553,100.0,553,100.0,553,100.0,553,100.0,553,100.0,553,100.0,553,100.0,553,100.0,412,74.5,412,74.5,412,74.5,412,74.5,553,100.0,553,100.0,412,74.5,412,74.5,8.483333333333334
ETH,129,129,100.0,129,100.0,129,100.0,0,0.0,129,100.0,129,100.0,129,100.0,129,100.0,129,100.0,129,100.0,129,100.0,129,100.0,129,100.0,129,100.0,129,100.0,129,100.0,129,100.0,129,100.0,129,100.0,129,100.0,129,100.0,129,100.0,129,100.0,129,100.0,4.166666666666671
EUR,547,0,0.0,0,0.0,547,100.0,547,100.0,547,100.0,547,100.0,547,100.0,547,100.0,547,100.0,547,100.0,547,100.0,547,100.0,547,100.0,547,100.0,547,100.0,547,100.0,547,100.0,547,100.0,547,100.0,547,100.0,547,100.0,547,100.0,547,100.0,547,100.0,8.333333333333329
FIN,984,12,1.2,12,1.2,132,13.4,276,28.0,120,12.2,120,12.2,120,12.2,120,12.2,204,20.7,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,230,23.4,376,38.2,113,11.5,113,11.5,662,67.3,662,67.3,73,7.4,73,7.4,74.55833333333334
FRA,984,10,1.0,10,1.0,132,13.4,12,1.2,120,12.2,120,12.2,120,12.2,120,12.2,204,20.7,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,230,23.4,376,38.2,113,11.5,113,11.5,632,64.2,632,64.2,650,66.1,650,66.1,71.05833333333334
GBR,984,10,1.0,10,1.0,132,13.4,18,1.8,120,12.2,120,12.2,120,12.2,120,12.2,204,20.7,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,230,23.4,376,38.2,113,11.5,113,11.5,612,62.2,612,62.2,650,66.1,650,66.1,71.2
GHA,553,553,100.0,553,100.0,234,42.3,553,100.0,553,100.0,553,100.0,553,100.0,553,100.0,553,100.0,553,100.0,553,100.0,553,100.0,553,100.0,553,100.0,553,100.0,553,100.0,287,51.9,287,51.9,350,63.3,350,63.3,553,100.0,553,100.0,395,71.4,395,71.4,11.854166666666671
GHA,240,240,100.0,240,100.0,240,100.0,0,0.0,240,100.0,240,100.0,240,100.0,240,100.0,240,100.0,240,100.0,240,100.0,240,100.0,240,100.0,240,100.0,240,100.0,240,100.0,240,100.0,240,100.0,240,100.0,240,100.0,240,100.0,240,100.0,240,100.0,240,100.0,4.166666666666671
GRC,994,94,9.5,94,9.5,132,13.3,282,28.4,120,12.1,120,12.1,120,12.1,120,12.1,204,20.5,288,29.0,384,38.6,384,38.6,384,38.6,384,38.6,384,38.6,384,38.6,260,26.2,350,35.2,104,10.5,113,11.4,694,69.8,694,69.8,132,13.3,132,13.3,73.34583333333335
HKG,806,213,26.4,213,26.4,338,41.9,12,1.5,120,14.9,290,36.0,120,14.9,120,14.9,170,21.1,806,100.0,278,34.5,278,34.5,278,34.5,278,34.5,278,34.5,278,34.5,177,22.0,250,31.0,105,13.0,113,14.0,806,100.0,806,100.0,106,13.2,106,13.2,66.19166666666666
HRV,962,544,56.5,544,56.5,492,51.1,258,26.8,144,15.0,288,29.9,144,15.0,144,15.0,180,18.7,264,27.4,360,37.4,360,37.4,360,37.4,360,37.4,360,37.4,360,37.4,264,27.4,352,36.6,264,27.4,264,27.4,944,98.1,944,98.1,264,27.4,264,27.4,62.245833333333344
HUN,924,286,31.0,286,31.0,132,14.3,216,23.4,120,13.0,180,19.5,120,13.0,120,13.0,168,18.2,228,24.7,324,35.1,324,35.1,324,35.1,324,35.1,324,35.1,324,35.1,210,22.7,236,25.5,147,15.9,147,15.9,910,98.5,910,98.5,114,12.3,114,12.3,70.27916666666667
IDN,958,568,59.3,568,59.3,168,17.5,358,37.4,120,12.5,334,34.9,120,12.5,120,12.5,168,17.5,252,26.3,352,36.7,352,36.7,352,36.7,352,36.7,352,36.7,352,36.7,262,27.3,274,28.6,150,15.7,150,15.7,958,100.0,958,100.0,184,19.2,184,19.2,65.18333333333334
IND,984,10,1.0,10,1.0,984,100.0,366,37.2,120,12.2,144,14.6,120,12.2,120,12.2,204,20.7,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,984,100.0,984,100.0,984,100.0,984,100.0,984,100.0,984,100.0,984,100.0,984,100.0,46.9
IRL,926,10,1.1,10,1.1,132,14.3,216,23.3,120,13.0,180,19.4,120,13.0,120,13.0,168,18.1,228,24.6,324,35.0,324,35.0,324,35.0,324,35.0,324,35.0,324,35.0,177,19.1,316,34.1,105,11.3,113,12.2,552,59.6,552,59.6,90,9.7,90,9.7,76.40833333333333
ISL,988,470,47.6,470,47.6,132,13.4,258,26.1,120,12.1,120,12.1,120,12.1,120,12.1,204,20.6,288,29.1,384,38.9,384,38.9,384,38.9,384,38.9,384,38.9,384,38.9,362,36.6,376,38.1,109,11.0,113,11.4,988,100.0,988,100.0,112,11.3,112,11.3,67.25416666666668
ISR,864,540,62.5,540,62.5,138,16.0,210,24.3,120,13.9,240,27.8,120,13.9,120,13.9,168,19.4,228,26.4,288,33.3,288,33.3,288,33.3,288,33.3,288,33.3,288,33.3,190,22.0,256,29.6,105,12.2,113,13.1,864,100.0,864,100.0,190,22.0,190,22.0,66.61249999999998
ITA,984,10,1.0,10,1.0,132,13.4,12,1.2,120,12.2,120,12.2,120,12.2,120,12.2,204,20.7,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,230,23.4,376,38.2,106,10.8,113,11.5,626,63.6,626,63.6,81,8.2,81,8.2,75.96249999999999
